Fish Bait, 1: manila clam, 5
Mulch, 1: weeds, 5
Hybrid Wand, 1: Magic-infused Stick, 1; hybrid berry, 1
Shiny Wand, 1: Magic-infused Stick, 1; Shiny berry, 1
Delta Wand, 1: Magic-infused Stick, 1; Delta berry, 1
Mutant Wand, 1: Magic-infused Stick, 1; Mutant berry, 1
Abomasite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Absolite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Aerodactylite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Aggronite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Alakazite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Altarianite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Ampharosite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Audinite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Banettite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Beedrillite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Blastoisinite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Blazikenite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Blue Orb, 1: Magic-infused Stone, 1; Evolution Stone, 1
Cameruptite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Charizardite X, 1: Magic-infused Stone, 1; Evolution Stone, 1
Charizardite Y, 1: Magic-infused Stone, 1; Evolution Stone, 1
Diancite, 1: Magic-infused Stone, 1; Evolution Stone, 1
DNA Splicers, 1: Magic-infused Stone, 1; Evolution Stone, 1
Galladitite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Garchompite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Gardevoirite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Gengarite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Glalitite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Green Orb, 1: Magic-infused Stone, 1; Evolution Stone, 1
Gyaradosite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Heracronite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Houndoominite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Kangaskhanite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Latiasite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Latiosite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Lopunnite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Lucarionite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Manectite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Mawilite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Medichamite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Metagrossite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Mewtwonite X, 1: Magic-infused Stone, 1; Evolution Stone, 1
Mewtwonite Y, 1: Magic-infused Stone, 1; Evolution Stone, 1
Pidgeotite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Pinsirite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Red Orb, 1: Magic-infused Stone, 1; Evolution Stone, 1
Sablenite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Salamencite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Sceptilite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Scizorite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Sharpedonite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Slowbronite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Steelixite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Swampertite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Tyranitarite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Ultra Prism, 1: Magic-infused Stone, 1; Evolution Stone, 1
Venusaurite, 1: Magic-infused Stone, 1; Evolution Stone, 1
Alcremie Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Appletun Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Blastoise Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Butterfree Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Centiskorch Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Charizard Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Cinderace Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Coalossal Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Copperajah Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Corviknight Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Drednaw Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Duraludon Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Eevee Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Flapple Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Garbodor Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Gengar Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Grimmsnarl Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Hatterene Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Inteleon Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Kingler Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Lapras Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Machamp Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Melmetal Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Meowth Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Orbeetle Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
Pikachu Star, 1: Magic-infused Stone, 1; Form-change Stone, 1
