none, n, 0
Money, 0, E3
GCTokens, 0, H3
GCT, 0, H3
Megastone, er, 1
Z Crystal, er, 2
GMax Star, er, 3
Fossil, r, 4
Basic Ticket, 0, C9
Elemental Ticket, 0, C10
Personalized Ticket, 0, C11
Ticket Re-roll, 0, C12
Legendary Ticket, 0, C14
Prize Ticket, 0, C15
Limitless Ticket, 0, C16
Tour Extension, 0, C18
Hybrid Wand, 0, C21
Delta Wand, 0, C22
Mutant Wand, 0, C23
Shiny Wand, 0, C24
Legendary Hybrid Wand, 0, C26
Reset Wand, 0, C27
Odd Wand, 0, C28
Swap Wand, 0, C29
Exchange Wand, 0, C30
Experimental Wand, 0, C31
Gender-Swap Stone, 0, F9
Form-Change Stone, 0, F10
Evolution Stone, 0, F11
Devolution Pebble, 0, F12
Rare Candy (5MG), 0, F14
Rare Candy (10MG), 0, F15
Rare Candy (15MG), 0, F16
TM, 0, F18
HM, 0, F19
Shiny Berry, 0, F21
Mutant Berry, 0, F22
Hybrid Berry, 0, F23
Delta Berry, 0, F24
Delta Shard, 0, F25
Clutch Re-roll, 0, F27
Clutch Forecast, 0, F28
Substitute Doll, 0, F29
Cosmos Seeds, 0, I9
Hyacinth Seeds, 0, I10
Lily Seeds, 0, I11
Mum Seeds, 0, I12
Pansy Seeds, 0, I13
Rose Seeds, 0, I14
Tulip Seeds, 0, I15
Windflower Seeds, 0, I16
Apples, 0, I18
Cherries, 0, I19
Coconuts, 0, I20
Peaches, 0, I21
Pears, 0, I22
Oranges, 0, I23
Weeds, 0, I24
Cosmos Seed, 0, I9
Hyacinth Seed, 0, I10
Lily Seed, 0, I11
Mum Seed, 0, I12
Pansy Seed, 0, I13
Rose Seed, 0, I14
Tulip Seed, 0, I15
Windflower Seed, 0, I16
Apple, 0, I18
Cherry, 0, I19
Coconut, 0, I20
Peach, 0, I21
Pear, 0, I22
Orange, 0, I23
Weed, 0, I24
Manila Clam, 0, I25
Gyroid Fragment, 0, I26
Mulch, 0, I27
Fish Bait, 0, I28
Insect Bait, 0, I29
Magic-Infused Stick, 0, I30
Magic-Infused Stone, 0, I31
Abomasite, 0, C34
Absolite, 0, C35
Aerodactylite, 0, C36
Aggronite, 0, C37
Alakazite, 0, C38
Altarianite, 0, C39
Ampharosite, 0, C40
Audinite, 0, C41
Banettite, 0, C42
Beedrillite, 0, C43
Blastoisinite, 0, C44
Blazikenite, 0, C45
Blue Orb, 0, C46
Cameruptite, 0, C47
Charizardite X, 0, C48
Charizardite Y, 0, C49
Diancite, 0, C50
DNA Splicers, 0, C51
Galladitite, 0, C52
Garchompite, 0, C53
Gardevoirite, 0, C54
Gengarite, 0, C55
Glalitite, 0, C56
Green Orb, 0, C57
Gyaradosite, 0, C58
Heracronite, 0, C59
Houndoominite, 0, C60
Kangaskhanite, 0, C61
Latiasite, 0, C62
Latiosite, 0, C63
Lopunnite, 0, C64
Lucarionite, 0, C65
Manectite, 0, C66
Mawilite, 0, C67
Medichamite, 0, C68
Metagrossite, 0, C69
Mewtwonite X, 0, C70
Mewtwonite Y, 0, C71
Pidgeotite, 0, C72
Pinsirite, 0, C73
Red Orb, 0, C74
Sablenite, 0, C75
Salamencite, 0, C76
Sceptilite, 0, C77
Scizorite, 0, C78
Sharpedonite, 0, C79
Slowbronite, 0, C80
Steelixite, 0, C81
Swampertite, 0, C82
Tyranitarite, 0, C83
Ultra Prism, 0, C84
Venusaurite, 0, C85
Alcremie Star, 0, F34
Appletun Star, 0, F35
Blastoise Star, 0, F36
Butterfree Star, 0, F37
Centiskorch Star, 0, F38
Charizard Star, 0, F39
Cinderace Star, 0, F40
Coalossal Star, 0, F41
Copperajah Star, 0, F42
Corviknight Star, 0, F43
Drednaw Star, 0, F44
Duraludon Star, 0, F45
Eevee Star, 0, F46
Flapple Star, 0, F47
Garbodor Star, 0, F48
Gengar Star, 0, F49
Grimmsnarl Star, 0, F50
Hatterene Star, 0, F51
Inteleon Star, 0, F52
Kingler Star, 0, F53
Lapras Star, 0, F54
Machamp Star, 0, F55
Melmetal Star, 0, F56
Meowth Star, 0, F57
Orbeetle Star, 0, F58
Pikachu Star, 0, F59
Rillaboom Star, 0, F60
Sandaconda Star, 0, F61
Snorlax Star, 0, F62
Toxtricity Star, 0, F63
Urshifu Star, 0, F64
Venusaur Star, 0, F65
Aloraichium Z, 0, I34
Buginium Z, 0, I35
Decidium Z, 0, I36
Dragonium Z, 0, I37
Eevium Z, 0, I38
Electrium Z, 0, I39
Fairium Z, 0, I40
Fightinium Z, 0, I41
Firium Z, 0, I42
Flyinium Z, 0, I43
Ghostium Z, 0, I44
Grassium Z, 0, I45
Groundium Z, 0, I46
Icium Z, 0, I47
Incinium Z, 0, I48
Kommonium Z, 0, I49
Lunalium Z, 0, I50
Lycanium Z, 0, I51
Marshadium Z, 0, I52
Mewnium Z, 0, I53
Mimikium Z, 0, I54
Normalium Z, 0, I55
Pikanium Z, 0, I56
Pikashunium Z, 0, I57
Poisonium Z, 0, I58
Primarium Z, 0, I59
Psychium Z, 0, I60
Rockium Z, 0, I61
Snorlium Z, 0, I62
Solganium Z, 0, I63
Steelium Z, 0, I64
Tapunium Z, 0, I65
Ultranecrozium Z, 0, I66
Waterium Z, 0, I67
Agrias Butterfly, 2, C9
Ant, 2, C10
Atlas Moth, 2, C11
Bagworm, 2, C12
Banded Dragonfly, 2, C13
Bell Cricket, 2, C14
Blue Weevil Beetle, 2, C15
Brown Cicada, 2, C16
Centipede, 2, C17
Cicada Shell, 2, C18
Citrus Long-horned Beetle, 2, C19
Common Bluebottle, 2, C20
Common Butterfly, 2, C21
Cricket, 2, C22
Cyclommatus Stag, 2, C23
Damselfly, 2, C24
Darner Dragonfly, 2, C25
Diving Beetle, 2, C26
Drone Beetle, 2, C27
Dung Beetle, 2, C28
Earth-boring Dung Beetle, 2, C29
Emperor Butterfly, 2, C30
Evening Cicada, 2, C31
Firefly, 2, C32
Flea, 2, C33
Fly, 2, C34
Giant Cicada, 2, C35
Giant Stag, 2, C36
Giant Water Bug, 2, C37
Giraffe Stag, 2, C38
Golden Stag, 2, C39
Goliath Beetle, 2, C40
Grasshopper, 2, C41
Great Purple Emperor, 2, C42
Hermit Crab, 2, C43
Honeybee, 2, C44
Horned Atlas, 2, C45
Horned Dynastid, 2, C46
Horned Elephant, 2, C47
Horned Hercules, 2, C48
Jewel Beetle, 2, C49
Lady Bug, 2, C50
Long Locust, 2, C51
Madagascan Sunset Moth, 2, C52
Man-Faced Stink Bug, 2, C53
Mantis, 2, C54
Migratory Locust, 2, C55
Miyama Stag, 2, C56
Mole Cricket, 2, C57
Monarch Butterfly, 2, C58
Mosquito, 2, C59
Moth, 2, C60
Orchid Mantis, 2, C61
Paper Kite Butterfly, 2, C62
Peacock Butterfly, 2, C63
Pill Bug, 2, C64
Pondskater, 2, C65
Queen Alexandria's Birdwing, 2, C66
Rainbow Stag, 2, C67
Rajah Brooke's Birdwing, 2, C68
Red Dragonfly, 2, C69
Rice Grasshopper, 2, C70
Robust Cicada, 2, C71
Rosalia Batesi Beetle, 2, C72
Saw Stag, 2, C73
Scarab Beetle, 2, C74
Scorpion, 2, C75
Snail, 2, C76
Spider, 2, C77
Stinkbug, 2, C78
Tarantula, 2, C79
Tiger Beetle, 2, C80
Tiger Butterfly, 2, C81
Violin Beetle, 2, C82
Walker Cicada, 2, C83
Walking Leaf, 2, C84
Walking Stick, 2, C85
Wasp, 2, C86
Wharf Roach, 2, C87
Yellow Butterfly, 2, C88
Anchovy, 2, F9
Angelfish, 2, F10
Arapaima, 2, F11
Arowana, 2, F12
Barred Knifejaw, 2, F13
Barreleye, 2, F14
Betta, 2, F15
Bitterling, 2, F16
Black Bass, 2, F17
Blowfish, 2, F18
Blue Marlin, 2, F19
Bluegill, 2, F20
Butterfly Fish, 2, F21
Carp, 2, F22
Catfish, 2, F23
Char, 2, F24
Cherry Salmon, 2, F25
Clown Fish, 2, F26
Coelacanth, 2, F27
Crawfish, 2, F28
Crucian Carp, 2, F29
Dace, 2, F30
Dap, 2, F31
Dorado, 2, F32
Football Fish, 2, F33
Freshwater Goby, 2, F34
Frog, 2, F35
Gar, 2, F36
Giant Snakehead, 2, F37
Giant Trevally, 2, F38
Golden Trout, 2, F39
Goldfish, 2, F40
Great White Shark, 2, F41
Guppy, 2, F42
Hammerhead Shark, 2, F43
Horse Mackerel, 2, F44
Killifish, 2, F45
King Salmon, 2, F46
Koi, 2, F47
Loach, 2, F48
Mahi-Mahi, 2, F49
Mitten Crab, 2, F50
Moray Eel, 2, F51
Napoleonfish, 2, F52
Neon Tetra, 2, F53
Nibble Fish, 2, F54
Oarfish, 2, F55
Ocean Sunfish, 2, F56
Olive Flounder, 2, F57
Pale Chub, 2, F58
Pike, 2, F59
Piranha, 2, F60
Pond Smelt, 2, F61
Pop-eyed Goldfish, 2, F62
Puffer Fish, 2, F63
Rainbowfish, 2, F64
Ranchu Goldfish, 2, F65
Ray, 2, F66
Red Snapper, 2, F67
Ribbot Eel, 2, F68
Saddled Bichir, 2, F69
